rank,title,artist,album,genre,streams,source,fetched_at,score,key
21,Man I Need,Olivia Dean,,,2492062,spotify_global,2026-07-03,60.0,man i need — olivia dean
22,"ICONIC BY MISTAKE (w/ ILLIT , KATSEYE )",LE SSERAFIM,,,2436556,spotify_global,2026-07-03,57.99999999999999,"iconic by mistake (w/ illit , katseye ) — le sserafim"
23,Ordinary,Alex Warren,,,2435160,spotify_global,2026-07-03,56.00000000000001,ordinary — alex warren
24,The Fate of Ophelia,Taylor Swift,,,2429810,spotify_global,2026-07-03,54.0,the fate of ophelia — taylor swift
25,Love Me Not,Ravyn Lenae,,,2423140,spotify_global,2026-07-03,52.0,love me not — ravyn lenae
26,Janice STFU,Drake,,,2404170,spotify_global,2026-07-03,50.0,janice stfu — drake
27,Chicago,Michael Jackson,,,2394211,spotify_global,2026-07-03,48.0,chicago — michael jackson
28,Die With A Smile (w/ Bruno Mars ),Lady Gaga,,,2370199,spotify_global,2026-07-03,46.0,die with a smile (w/ bruno mars ) — lady gaga
29,On The Floor (w/ Pitbull ),Jennifer Lopez,,,2272364,spotify_global,2026-07-03,44.0,on the floor (w/ pitbull ) — jennifer lopez
30,Raindance (w/ Tems ),Dave,,,2243864,spotify_global,2026-07-03,42.0,raindance (w/ tems ) — dave
31,Sesi Potret (w/ Ari Lesmana ),eÅau,,,2218248,spotify_global,2026-07-03,40.0,sesi potret (w/ ari lesmana ) — eåau
32,Dracula - JENNIE Remix (w/ JENNIE ),Tame Impala,,,2212737,spotify_global,2026-07-03,38.0,dracula - jennie remix (w/ jennie ) — tame impala
33,Sailor Song,Gigi Perez,,,2147951,spotify_global,2026-07-03,36.0,sailor song — gigi perez
34,So Easy (To Fall In Love),Olivia Dean,,,2131541,spotify_global,2026-07-03,34.0,so easy (to fall in love) — olivia dean
35,"I Knew It, I Knew You",Taylor Swift,,,2121998,spotify_global,2026-07-03,32.0,"i knew it, i knew you — taylor swift"
